LESSTHAN80,LTHS_25TO34_PCT,TOT_POP,TOT_HOUSING_UNITS,UNEMPLRT,POVRT,PASSED_THRESHOLD,CDBG_PER_PR_RESID
6720,1.72,31994,16754,7.25,16.2,0,150.74393108848864
14585,1.87,98310,43894,4.84,11.28,1,180.87058918559345
29425,0.76,190832,77020,3.85,5.26,1,232.37680309734515
2230,5.13,10781,11233,9.22,15.5,1,163.63636363636363
145080,2.14,870893,367684,5.59,9.9,1,235.25751762171276
1370,2.13,8748,3752,5.05,15.32,1,27.71342383107089
17540,1.1,109627,46970,6.67,11.58,1,56.108818897637796
6470,7.18,26307,13583,12.53,34.24,1,65.0536407212965
3215,6.24,18763,8315,3.92,17.19,1,20.37598736176935
3405,15.71,18833,9162,4.02,22.39,1,296.76997578692493
1665,7.05,9586,5036,7.74,26.66,1,227.74377828054298
3615,9.38,15854,7900,4.02,35.11,1,351.56084642782315
3365,4.74,19533,9670,9.18,28.64,1,611.7784158611166
5055,6.39,27395,13181,9.12,21.64,1,515.9834342575268
